C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
13.33                 1.33                0.97	13.67                 1.47                0.57	 9.00                 1.25                1.23	TcIL3000.A.H_001022800.1  mitochondrial RNA binding complex 1 subunit
 4.33                 0.54                0.71	 6.67                 1.75                1.05	 7.00                 0.92                1.00	TcIL3000.A.H_001022900.1  poly(A) polymerase, putative
 2.67                 1.00                0.54	 2.00                 1.00                0.42	 1.67                 0.54                1.89	TcIL3000.A.H_001023000.1  hypothetical protein, conserved
 6.33                 1.00                1.39	 8.67                 0.86                0.79	 6.33                 1.24                2.63	TcIL3000.A.H_001023100.1  hypothetical protein, conserved
10.33                 1.07                1.26	10.33                 1.08                1.21	14.00                 1.41                1.37	TcIL3000.A.H_001023200.1  U5 snRNP-associated 102 kDa protein, putative
 6.00                 0.69                0.56	 3.33                 1.54                2.45	 6.67                 1.45                1.04	TcIL3000.A.H_001023300.1  hypothetical protein, conserved
10.00                 1.57                0.96	10.67                 1.15                0.68	 5.33                 0.83                0.88	TcIL3000.A.H_001023400.1  hypothetical protein, conserved
 2.00                 2.20                1.65	 6.67                 0.61                1.68	 5.00                 0.93                0.88	TcIL3000.A.H_001023500.1  cyclic nucleotide-binding domain containing protein, putative
 5.67                 0.92                0.63	 8.00                 1.61                1.06	 4.33                 0.96                1.25	TcIL3000.A.H_001023600.1  hypothetical protein, conserved
16.67                 0.91                0.96	14.67                 0.80                1.23	13.33                 1.14                1.64	TcIL3000.A.H_001023700.1  adenosine monophosphate deaminase, putative
44.33                 1.20                0.97	34.67                 1.07                1.40	32.33                 0.83                1.61	TcIL3000.A.H_001023800.1  GPI transamidase subunit Tta1
11.00                 0.65                1.47	 7.00                 0.93                0.68	 5.33                 1.50                1.70	TcIL3000.A.H_001023900.1  hypothetical protein, conserved
 5.67                 2.09                0.94	 3.67                 1.27                1.17	 3.33                 1.00                1.28	TcIL3000.A.H_001024000.1  hypothetical protein, conserved
 8.67                 1.35                1.24	 6.67                 0.54                1.53	 7.00                 1.07                1.47	TcIL3000.A.H_001024100.1  hypothetical protein, conserved
 9.00                 1.16                0.92	13.00                 0.86                0.48	 7.00                 0.85                2.06	TcIL3000.A.H_001024200.1  hypothetical protein, conserved
 9.00                 1.11                1.44	11.00                 1.07                1.48	11.67                 0.87                1.00	TcIL3000.A.H_001024300.1  NADH dehydrogenase subunit NI2M, putative
 4.67                 0.50                1.07	 7.33                 0.84                1.19	 6.67                 0.55                3.08	TcIL3000.A.H_001024400.1  superoxide dismutase, putative
14.00                 0.92                0.95	18.00                 0.67                0.90	16.00                 0.85                2.26	TcIL3000.A.H_001024500.1  variant surface glycoprotein (VSG), putative
10.33                 1.55                0.94	 4.67                 1.86                2.23	 6.33                 1.15                1.06	TcIL3000.A.H_001024600.1  L-Lysine transport protein, putative
10.33                 1.21                0.60	13.33                 0.43                1.17	10.00                 1.45                0.91	TcIL3000.A.H_001024700.1  kinteoplast poly(A) polymerase complex 1 subunit
 1.67                 0.87                1.00	 2.00                 1.18                1.40	 2.00                 1.11                3.01	TcIL3000.A.H_001024800.1  hypothetical protein
 5.00                 1.04                0.88	 6.67                 0.56                0.65	 3.33                 0.51                1.26	TcIL3000.A.H_001024900.1  L-Lysine transport protein, putative
 3.33                 0.96                1.22	 8.00                 0.89                1.48	 3.00                 2.85                1.19	TcIL3000.A.H_001025000.1  hypothetical protein, conserved
76.67                 1.08                0.77	74.00                 1.20                1.59	87.67                 1.19                1.55	TcIL3000.A.H_001025100.1  60S ribosomal protein L27, putative
10.00                 1.28                0.70	12.33                 0.31                1.08	 7.33                 2.54                1.32	TcIL3000.A.H_001025200.1  hypothetical protein, conserved
73.00                 0.97                0.93	62.67                 0.93                1.13	68.67                 1.11                1.25	TcIL3000.A.H_001025300.1  60S ribosomal protein L27, putative
17.00                 0.99                1.10	19.00                 0.44                0.79	21.67                 1.03                1.41	TcIL3000.A.H_001025400.1  iron superoxide dismutase
 0.67                 2.20                0.50	 2.00                 0.63                3.01	 2.00                 0.44                0.89	TcIL3000.A.H_001025500.1  glutathione peroxidase, putative
 8.00                 0.83                1.75	 5.00                 0.88                0.90	 6.00                 1.32                0.71	TcIL3000.A.H_001025600.1  Sybindin-like family, putative
 9.33                 1.00                0.70	 6.00                 0.70                1.42	 4.67                 1.09                2.54	TcIL3000.A.H_001025700.1  hypothetical protein, conserved
 5.00                 0.90                1.35	11.00                 1.00                1.21	10.33                 0.81                1.55	TcIL3000.A.H_001025800.1  amino acid transporter, putative
 8.33                 1.13                0.77	10.00                 0.70                0.17	 8.00                 1.22                1.09	TcIL3000.A.H_001025900.1  Guanine nucleotide exchange factor in Golgi transport N-terminal/Sec7 domain containing protein, putative
 4.67                 1.23                1.33	 4.33                 0.69                0.77	 2.67                 1.28                3.29	TcIL3000.A.H_001026000.1  hypothetical protein
